method,ari,nmi,fm,n clusters_1,silhouette_1,calinski harabasz_1,n clusters_2,silhouette_2,calinski harabasz_2
kmeans emb,0.2891600900930178,0.33761904141334204,0.5444942978194264,3,0.0923300087451934,11.47047233581543,4,0.1154616102576255,10.012114524841309
kmeans 3 emb,0.31603686431596295,0.3933506486412349,0.5710041002861805,3,0.0923300087451934,11.47047233581543,3,0.1113958805799484,11.661425590515137
kmeans cat,0.4103271201354478,0.40637600562920984,0.5900446063386044,3,0.2187116599151031,26.928763817546855,4,0.1990458441915992,24.321588319908233
kmeans 3 cat,0.4015325781280033,0.4452998250914609,0.6576177601061888,3,0.2187116599151031,26.928763817546855,3,0.303626563899311,26.57454918277887
agg emb,0.23117536337152542,0.26131946119703076,0.48113186837763766,3,0.1039536371827125,12.313519477844238,4,0.0896124169230461,10.253459930419922
agg 3 emb,0.21132738597150086,0.2099336516110911,0.5345727938434407,3,0.1039536371827125,12.313519477844238,3,0.1056326776742935,11.799811363220217
agg cat,0.5318990407003819,0.5261383734922364,0.685434699313384,3,0.1744271362733341,23.22520220399358,4,0.2004424899678478,22.905666045077403
agg 3 cat,0.2783037954196002,0.3692396749038998,0.5950704177150546,3,0.1744271362733341,23.22520220399358,3,0.2791590358405209,23.77294387537589
gmm emb,0.3569154988200979,0.3528767854543149,0.5902788811219487,3,0.1009390503168106,11.416473388671877,4,0.1154616102576255,10.012114524841309
gmm 3 emb,0.3821963812603008,0.4061694399978139,0.6146460740021699,3,0.1009390503168106,11.416473388671877,3,0.1113958805799484,11.661425590515137
gmm cat,0.5312334671610582,0.3803249244612109,0.763097718238518,3,0.2297342460666081,17.517840252703454,4,0.2309336110491537,18.853401761734258
gmm 3 cat,0.5980675882902308,0.41770576058465064,0.8068792440761474,3,0.2297342460666081,17.517840252703454,3,0.2361032639957067,20.073106668788267
birch emb,0.23117536337152542,0.26131946119703076,0.48113186837763766,3,0.1039536371827125,12.313519477844238,4,0.0896124169230461,10.253459930419922
birch 3 emb,0.21132738597150086,0.2099336516110911,0.5345727938434407,3,0.1039536371827125,12.313519477844238,3,0.1056326776742935,11.799811363220217
birch cat,0.23117536337152542,0.26131946119703076,0.48113186837763766,3,0.1039536371827125,12.313519477844238,4,0.0896124169230461,10.253459930419922
birch 3 cat,0.21132738597150086,0.2099336516110911,0.5345727938434407,3,0.1039536371827125,12.313519477844238,3,0.1056326776742935,11.799811363220217
