method,n clusters,silhouette,calinski harabasz
kmeans emb,3,0.09783332794904709,11.993224968856085
kmeans 3 emb,3,0.09783332794904709,11.993224968856085
kmeans cat,4,0.24243014823806475,32.1218790006986
kmeans 3 cat,3,0.22315078483479786,34.7835101707464
agg emb,3,0.10028112679719925,13.60329196685763
agg 3 emb,3,0.10028112679719925,13.60329196685763
agg cat,4,0.22413181281942077,29.520974000316727
agg 3 cat,3,0.1988400583115062,31.043041951012622
gmm emb,3,0.09783332794904709,11.993224968856085
gmm 3 emb,3,0.09783332794904709,11.993224968856085
gmm cat,4,0.177340688414609,25.165800923742022
gmm 3 cat,3,0.1578254996828131,24.845836481402344
birch emb,3,0.10028112679719925,13.60329196685763
birch 3 emb,3,0.10028112679719925,13.60329196685763
birch cat,4,0.083074651658535,11.269290393573865
birch 3 cat,3,0.10028112679719925,13.60329196685763
